NAICS_Exception_Description,NAICS_ExceptionCode
Forest Fire Suppression17; Fuels Management Services17,115310
Dredging and Surface Cleanup Activities2,237990
Building and Property Specialty Trade Services 13,238990
Non_Vessel Owning Common Carriers and Household Goods Forwarders,488510
Military and Aerospace Equipment and Military Weapons; Contracts and Subcontracts for Engineering Services Awarded Under the National Energy Policy Act of 1992; Marine Engineering and Naval Architecture,541330
Information Technology Value Added Resellers18,541519
"Aircraft, Aircraft Engine and Engine Parts11; Other Aircraft Parts and Auxiliary Equipment11; Guided Missiles and Space Vehicles, Their Propulsion Units and Propulsion Parts11",541715
Environmental Remediation Services14,562910
Job Corps Centers16,611519
N/A,111110
N/A,111120
N/A,111130
N/A,111140
N/A,111150
N/A,111160
N/A,111191
N/A,111199
N/A,111211
N/A,111219
N/A,111310
N/A,111320
N/A,111331
N/A,111332
N/A,111333
N/A,111334
N/A,111335
N/A,111336
N/A,111339
N/A,111411
N/A,111419
N/A,111421
N/A,111422
N/A,111910
N/A,111920
N/A,111930
N/A,111940
N/A,111991
N/A,111992
N/A,111998
N/A,112111
N/A,112112
N/A,112120
N/A,112130
N/A,112210
N/A,112310
N/A,112320
N/A,112330
N/A,112340
N/A,112390
N/A,112410
N/A,112420
N/A,112511
N/A,112512
N/A,112519
N/A,112910
N/A,112920
N/A,112930
N/A,112990
N/A,113110
N/A,113210
N/A,113310
N/A,114111
N/A,114112
N/A,114119
N/A,114210
N/A,115111
N/A,115112
N/A,115113
N/A,115114
N/A,115115
N/A,115116
N/A,115210
N/A,211120
N/A,211130
N/A,212111
N/A,212112
N/A,212113
N/A,212210
N/A,212221
N/A,212222
N/A,212230
N/A,212291
N/A,212299
N/A,212311
N/A,212312
N/A,212313
N/A,212319
N/A,212321
N/A,212322
N/A,212324
N/A,212325
N/A,212391
N/A,212392
N/A,212393
N/A,212399
N/A,213111
N/A,213112
N/A,213113
N/A,213114
N/A,213115
N/A,221111
N/A,221112
N/A,221113
N/A,221114
N/A,221115
N/A,221116
N/A,221117
N/A,221118
N/A,221121
N/A,221122
N/A,221210
N/A,221310
N/A,221320
N/A,221330
N/A,236115
N/A,236116
N/A,236117
N/A,236118
N/A,236210
N/A,236220
N/A,237110
N/A,237120
N/A,237130
N/A,237210
N/A,237310
N/A,238110
N/A,238120
N/A,238130
N/A,238140
N/A,238150
N/A,238160
N/A,238170
N/A,238190
N/A,238210
N/A,238220
N/A,238290
N/A,238310
N/A,238320
N/A,238330
N/A,238340
N/A,238350
N/A,238390
N/A,238910
N/A,311111
N/A,311119
N/A,311211
N/A,311212
N/A,311213
N/A,311221
N/A,311224
N/A,311225
N/A,311230
N/A,311313
N/A,311314
N/A,311340
N/A,311351
N/A,311352
N/A,311411
N/A,311412
N/A,311421
N/A,311422
N/A,311423
N/A,311511
N/A,311512
N/A,311513
N/A,311514
N/A,311520
N/A,311611
N/A,311612
N/A,311613
N/A,311615
N/A,311710
N/A,311811
N/A,311812
N/A,311813
N/A,311821
N/A,311824
N/A,311830
N/A,311911
N/A,311919
N/A,311920
N/A,311930
N/A,311941
N/A,311942
N/A,311991
N/A,311999
N/A,312111
N/A,312112
N/A,312113
N/A,312120
N/A,312130
N/A,312140
N/A,312230
N/A,313110
N/A,313210
N/A,313220
N/A,313230
N/A,313240
N/A,313310
N/A,313320
N/A,314110
N/A,314120
N/A,314910
N/A,314994
N/A,314999
N/A,315110
N/A,315190
