PSCID,PSC_Description
1005,"GUNS, THROUGH 30MM"
1010,"GUNS, OVER 30MM UP TO 75MM"
1015,"GUNS, 75MM THROUGH 125MM"
1020,"GUNS, OVER 125MM THROUGH 150MM"
1025,"GUNS, OVER 150MM THROUGH 200MM"
1030,"GUNS, OVER 200MM THROUGH 300MM"
1035,"GUNS, OVER 300MM"
1040,CHEMICAL WEAPONS AND EQUIPMENT
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE"
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC"
1070,"NETS AND BOOMS, ORDNANCE"
1075,DEGAUSSING AND MINE SWEEPING EQUIPMENT
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES
1095,MISCELLANEOUS WEAPONS
1105,NUCLEAR BOMBS
1110,NUCLEAR PROJECTILES
1115,NUCLEAR WARHEADS & WARHEAD SECTIONS
1120,NUCLEAR DEPTH CHARGES
1125,NUCLEAR DEMOLITION CHARGES
1127,NUCLEAR ROCKETS
1130,"CONVERSION KITS, NUCLEAR ORDNANCE"
1135,"FUZING AND FIRING DEVICES, NUCLEAR ORDNANCE"
1140,NUCLEAR COMPONENTS
1145,"EXPLOSIVE & PYROTECHNIC COMPS, NUCL"
1190,"SPEC TEST & HANDLING EQ, NUCLEAR EQ"
1195,MISCELLANEOUS NUCLEAR ORDNANCE
1210,FIRE CONTROL DIRECTORS
1220,FIRE CONTROL COMPUTING SIGHTS AND DEVICES
1230,"FIRE CONTROL SYSTEMS, COMPLETE"
1240,OPTICAL SIGHTING AND RANGING EQUIPMENT
1250,FIRE CONTROL STABILIZING MECHANISMS
1260,FIRE CONT DESIGNATING-INDICATING EQ
1265,FIRE CONT EQ EXCEPT AIRBORNE
1270,AIRCRAFT GUNNERY FIRE CONT COMPS
1280,AIRCRAFT BOMBING FIRE CONT COMPS
1285,"FIRE CONTROL RADAR EQUIPMENT, EXCEPT AIRBORNE"
1287,FIRE CONTROL SONAR EQUIPMENT
1290,MISCELLANEOUS FIRE CONTROL EQUIPMENT
1305,"AMMUNITION, THROUGH 30 MM"
1310,"AMMUNITION, OVER 30MM UP TO 75MM"
1315,"AMMUNITION, 75 MM THROUGH 125 MM."
1320,"AMMUNITION, OVER 125 MM"
1325,BOMBS
1330,GRENADES
1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS
1337,MSL & SPACE VEH EXPLOSIVE PROPULSN
1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS"
1340,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS"
1345,LAND MINES
1346,REMOTE MUNITIONS
1350,UNDERWATER MINE INERT COMPONENTS
1351,UNDERWATER MINE EXPLOSIVE COMPS
1352,UNDERWATER MINE DISPOSAL INERT DEVICES
1353,UNDERWATER MINE DISPOSAL EXPLOSIVE DEVICES
1355,"TORPEDOS AND COMPONENTS, INERT"
1356,"TORPEDOS AND COMPONENTS, EXPLOSIVE"
1360,"DEPTH CHARGES AND COMPONENTS, INERT"
1361,"DEPTH CHARGES AND COMPONENTS, EXPLOSIVE"
1365,MILITARY CHEMICAL AGENTS
1367,"TACTICAL SETS, KITS, AND OUTFITS"
1370,PYROTECHNICS
1375,DEMOLITION MATERIALS
1376,BULK EXPLOSIVES
1377,CARTRIDGE & PROPELLANT DEVICES
1380,MILITARY BIOLOGICAL AGENTS
1385,SURFACE USE EXPLOSIVE ORDNANCE DISPOSAL TOOLS AND EQUIPMENT
1386,UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT
1390,FUZES AND PRIMERS
1395,MISCELLANEOUS AMMUNITION
1398,AMMUNITION HANDLING & SERVICING EQ
1410,GUIDED MISSILES
1420,GUIDED MISSILE COMPONENTS
1425,"GUIDED MISSILE SYSTEMS, COMPLETE"
1427,GUIDED MISSILE SUBSYSTEMS
1430,GUIDED MISSILE REMOTE CONTROL SYSTEMS
1440,"LAUNCHERS, GUIDED MISSILE"
1450,GUIDED MISSILE HANDLING SERVICE EQ
1510,"AIRCRAFT, FIXED WING"
1520,"AIRCRAFT, ROTARY WING"
1540,GLIDERS
1550,DRONES
1560,AIRFRAME STRUCTURAL COMPONENTS
1610,AIRCRAFT PROPELLERS AND COMPONENTS
1615,"HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS"
1620,AIRCRAFT LANDING GEAR COMPONENTS
1630,AIRCRAFT WHEEL AND BRAKE SYSTEMS
1640,AIRCRAFT CONTROL CABLE PRODUCTS
1650,"AIRCRAFT HYDRAULIC, VACUUM, AND DE-ICING SYSTEM COMPONENTS"
1660,"AIRCRAFT AIR CONDITIONING, HEATING, AND PRESSURIZING EQUIPMENT"
1670,"PARACHUTES; AERIAL PICK UP, DELIVERY, RECOVERY SYSTEMS; AND CARGO TIE DOWN EQUIPMENT"
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS
1710,AIRCRAFT LANDING EQUIPMENT
1720,AIRCRAFT LAUNCHING EQUIPMENT
1730,AIRCRAFT GROUND SERVICING EQUIPMENT
1740,AIRFIELD SPECIAL TRUCKS & TRAILERS
1850,SPACE VEHICLE HANDLING & SERVICE EQ
1900,Frigates and Corvettes
1901,AIRCRAFT CARRIERS
1902,CRUISERS
1903,DESTROYERS
1904,SUBMARINES
1905,COMBAT SHIPS AND LANDING VESSELS
1906,MINELAYERS ADN MINESWEEPERS
1907,LANDING CRAFT
1908,TORPEDO BOATS AND GUN BOATS
1909,Hydrofoils
1910,TRANSPORT VESSELS-PASSENGER & TROOP
1911,AMPHIBIOUS ASSAULT SHIPS
1915,CARGO AND TANKER VESSELS
1920,FISHING VESSELS
1921,TUGS AND TOWBOATS
1922,Fire Boats
1923,ICE BREAKERS
1924,REPAIR SHIPS
1925,SPECIAL SERVICE VESSELS
1926,Lightships
1927,Cable Ships
1928,SALVAGE VESSELS
1929,RESCUE VESSELS
1930,"BARGES AND LIGHTERS, CARGO"
1935,BARGES & LIGHTERS SPECIAL PURPOSE
1940,SMALL CRAFT
1945,PONTOONS AND FLOATING DOCKS
1950,FLOATING DRYDOCKS
1955,DREDGES
1990,MISCELLANEOUS VESSELS
2010,SHIP AND BOAT PROPULSION COMPONENTS
2020,RIGGING AND RIGGING GEAR
2030,DECK MACHINERY
2040,MARINE HARDWARE AND HULL ITEMS
2050,BUOYS
2060,COMMERCIAL FISHING EQUIPMENT
2090,MISC SHIP & MARINE EQ
2210,LOCOMOTIVES
2220,RAIL CARS
2230,RAILROAD RIGHT OF WAY CONSTR EQ
2240,LOCOMOTIVE AND RAIL CAR ACCESSORIES AND COMPONENTS
2250,"TRACK MATERIAL, RAILROAD"
2305,GROUND EFFECT VEHICLES
2310,PASSENGER MOTOR VEHICLES
2320,"TRUCKS AND TRUCK TRACTORS, WHEELED"
2330,TRAILERS
2340,"MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES"
